testkevinmerged0	Unassigned;Other
testkevinmerged98	k__Bacteria;p__[Thermi];c__Deinococci
testkevinmerged99	Unassigned;Other;Other;Other
testkevinmerged100	k__Archaea;Other;Other;Other
testkevinmerged101	k__Archaea;p__Crenarchaeota;Other;Other
testkevinmerged102	k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J
testkevinmerged103	k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26
testkevinmerged104	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales
testkevinmerged105	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales
testkevinmerged106	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales
testkevinmerged107	k__Archaea;p__Euryarchaeota;Other;Other
testkevinmerged108	k__Archaea;p__Euryarchaeota;c__ANME-1;o__
testkevinmerged109	k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3
testkevinmerged110	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales
testkevinmerged111	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales
testkevinmerged112	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales
testkevinmerged113	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales
testkevinmerged114	k__Bacteria;Other;Other;Other
testkevinmerged115	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other
testkevinmerged116	k__Bacteria;p__Actinobacteria;Other;Other
testkevinmerged117	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
testkevinmerged118	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales
testkevinmerged119	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales
testkevinmerged120	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales
testkevinmerged121	k__Bacteria;p__Actinobacteria;c__OPB41;o__
testkevinmerged122	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;Other
testkevinmerged123	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
testkevinmerged124	k__Bacteria;p__Bacteroidetes;Other;Other
testkevinmerged125	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
testkevinmerged126	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales
testkevinmerged127	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales
testkevinmerged128	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
testkevinmerged129	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]
testkevinmerged130	k__Bacteria;p__Chloroflexi;Other;Other
testkevinmerged131	k__Bacteria;p__Chloroflexi;c__Anaerolineae;Other
testkevinmerged132	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26
