FEATURE_ID	FEATURE_NAME	MEAN_POS	MEDIAN_ALL	MEDIAN_0	MEDIAN_1	FOLD_CHANGE	LOG2_FOLD_CHANGE
24	Unassigned:Other:Other:Other	132.5	0.0036764705882399999	0.0037295025722650001	0.0035947712418300001	0.96387418219337084	-0.053083256079599191
33	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales	132.88	0.590558766859	0.67135181882899997	0.485504110775	0.72317389654479025	-0.46758549125627846
47	Unassigned:Other:Other:Other:Other	133.13999999999999	0.0036764705882399999	0.0037295025722650001	0.0035947712418300001	0.96387418219337084	-0.053083256079599191
0	Unassigned:Other	133.13999999999999	0.0036764705882399999	0.0037295025722650001	0.0035947712418300001	0.96387418219337084	-0.053083256079599191
15	k__Bacteria:p__Firmicutes:c__Clostridia	133.30000000000001	0.590558766859	0.67135181882899997	0.485504110775	0.72317389654479025	-0.46758549125627846
136	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Phascolarctobacterium	133.38	0.0	0.0	0.0	nan	nan
90	Unassigned:Other:Other:Other:Other:Other	133.81999999999999	0.0036764705882399999	0.0037295025722650001	0.0035947712418300001	0.96387418219337084	-0.053083256079599191
18	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria	134.13999999999999	0.0	0.0012543089713505	0.0	0.0	-inf
130	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Anaerotruncus	136.41999999999999	0.0	0.0	0.0	nan	nan
81	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Alcaligenaceae	137.46000000000001	0.00073099415204699999	0.00079727600521200008	0.00047573739295899998	0.59670351277221589	-0.74491382487549707
121	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Anaerostipes	137.53999999999999	0.00065359477124200002	0.0	0.00195367010885	inf	inf
148	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria:o__Burkholderiales:f__Alcaligenaceae:g__Sutterella	137.66	0.00073099415204699999	0.00079727600521200008	0.00047573739295899998	0.59670351277221589	-0.74491382487549707
126	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Roseburia	138.13999999999999	0.00086542622241500002	0.0	0.0010635469290100001	inf	inf
115	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae:g__	139.02000000000001	0.0	0.0	0.0	nan	nan
73	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae	139.09999999999999	0.044843049327399999	0.042342952295550004	0.063975628332100007	1.5108920106835222	0.59540054917323915
93	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:g__	140.36000000000001	0.0	0.0	0.0	nan	nan
72	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae	141.91999999999999	0.232033304119	0.21015562554049999	0.235243055556	1.1193754863852803	0.16269405908380324
