testkevin0	Unassigned;Other
testkevin107	k__Archaea;p__Euryarchaeota;Other;Other
testkevin108	k__Archaea;p__Euryarchaeota;c__ANME-1;o__
testkevin109	k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3
testkevin110	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales
testkevin111	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales
testkevin112	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales
testkevin113	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales
testkevin114	k__Bacteria;Other;Other;Other
testkevin115	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other
testkevin116	k__Bacteria;p__Actinobacteria;Other;Other
testkevin117	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
testkevin118	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales
testkevin119	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales
testkevin120	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales
testkevin121	k__Bacteria;p__Actinobacteria;c__OPB41;o__
testkevin122	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;Other
testkevin123	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
testkevin124	k__Bacteria;p__Bacteroidetes;Other;Other
testkevin125	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
testkevin126	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales
testkevin127	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales
testkevin128	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
testkevin129	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]
testkevin130	k__Bacteria;p__Chloroflexi;Other;Other
testkevin131	k__Bacteria;p__Chloroflexi;c__Anaerolineae;Other
testkevin132	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26
testkevin133	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__OPB11
testkevin134	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208
testkevin135	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031
testkevin136	k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales]
testkevin137	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales
testkevin138	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1
testkevin139	k__Bacteria;p__Chloroflexi;c__SAR202;o__
testkevin140	k__Bacteria;p__Cyanobacteria;Other;Other
testkevin141	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12
testkevin142	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2
testkevin143	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta
testkevin144	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta
testkevin145	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales
testkevin146	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales
testkevin147	k__Bacteria;p__Firmicutes;Other;Other
testkevin148	k__Bacteria;p__Firmicutes;c__Bacilli;Other
testkevin149	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
testkevin150	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales
testkevin151	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
testkevin152	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales
testkevin153	k__Bacteria;p__Firmicutes;c__Clostridia;Other
testkevin154	k__Bacteria;p__Firmicutes;c__Clostridia;o__
testkevin155	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
testkevin156	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98
testkevin157	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales
testkevin158	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales
testkevin159	k__Bacteria;p__GN02;c__3BR-5F;o__
testkevin160	k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__
testkevin161	k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__
testkevin162	k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__
testkevin163	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__
testkevin164	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales
testkevin165	k__Bacteria;p__OP1;c__[Acetothermia];o__[Acetothermales]
testkevin166	k__Bacteria;p__OP8;c__OP8_2;o__
testkevin167	k__Bacteria;p__Planctomycetes;Other;Other
testkevin168	k__Bacteria;p__Planctomycetes;c__;o__
testkevin169	k__Bacteria;p__Planctomycetes;c__OM190;o__agg27
testkevin170	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;Other
testkevin171	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales
testkevin172	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__mle1-8
testkevin173	k__Bacteria;p__Proteobacteria;Other;Other
testkevin174	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other
testkevin175	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales
testkevin176	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32
testkevin177	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
testkevin178	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales
testkevin179	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
testkevin180	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other
testkevin181	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__
testkevin182	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
testkevin183	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales
testkevin184	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales
testkevin185	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales
testkevin186	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales
testkevin187	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;Other
